CMPD_CHEMBLID,exp,smiles
CHEMBL324343,1.14,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)Cc3ccccc3C(=O)O)C(=O)C(F)(F)F
CHEMBL379350,2.0,CCN(CC)c1ccc2C=C(C(=O)C)C(=O)Oc2c1
CHEMBL1468936,3.8,CCOC(=O)c1c(nc2cc(C)ccn12)c3ccccc3
CHEMBL1778627,-0.81,CN(c1ccc(cc1)c2cc(ccc2OCC(=O)O)C(F)(F)F)S(=O)(=O)C
CHEMBL1762521,3.47,CN(c1ccccc1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2
CHEMBL2170985,0.9,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)NCc4ccccc4)[C@@H](O)[C@H]3O
CHEMBL91428,3.9,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC
CHEMBL567175,2.7,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccccc8c7C[C@@]36O
CHEMBL1916083,-0.54,CNC(=O)c1cnn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3
CHEMBL2335865,3.56,COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4ccnc(C)c4)cc1
CHEMBL384536,2.04,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3c[nH]c4ncccc34)c2C(=O)N5C[C@H](O)CO5
CHEMBL313907,1.25,O=S(=O)(Nc1nc(nn1Cc2ccccc2)c3ccccc3)c4ccccc4
CHEMBL2059910,1.58,CNC(=O)Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)NC(C)(C)C
CHEMBL1809062,3.2,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CCO)CC5
CHEMBL2035039,1.6,NC1(CCC1)c2ccc(cc2)N3C(=O)c4ccccc4N=C3c5ccccc5
CHEMBL1824040,0.37,CC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
CHEMBL569,0.0,CCN(CC)CCOC(=O)c1ccc(N)cc1
CHEMBL515839,2.82,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)CC4CCCO4)n2
CHEMBL2207655,2.54,CC1(O)CN(C1)S(=O)(=O)c2ccc3C(=CNC(=O)c3c2)C(=O)NC[C@@H](O)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5
CHEMBL789,0.97,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
CHEMBL51931,2.6,O=C1C(=O)c2ccccc2c3ccccc13
CHEMBL235789,1.84,Clc1ccc(CN2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4
CHEMBL443684,0.64,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7
CHEMBL273235,2.4,Fc1ccc(cc1)n2cc(C3CCNCC3)c4cc(Cl)ccc24
CHEMBL1270671,3.52,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ccoc34)n2)c1
CHEMBL2152906,4.4,CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cc(ccn5)C#CC
CHEMBL11336,1.82,COC(=O)NC1=CN=C(N(CC(=O)NC(C(C)C)C(=O)C(F)(F)F)C1=O)c2ccc(F)cc2
CHEMBL2315158,1.9,CCCCNc1nc(N)c2NC(=O)N(Cc3ccc(OCCN(C)C)nc3)c2n1
CHEMBL1762,-0.15,CC(N)C(=O)Nc1c(C)cccc1C
CHEMBL550777,1.19,NC1CCN(CC1)c2nccc(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2Cl
CHEMBL1163879,2.92,COc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3
CHEMBL554169,1.02,Cc1ccc(OC(=O)N2CCN3CCC2CC3)cc1
CHEMBL2062564,3.44,CC(=O)Nc1ccc2cnn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1
CHEMBL561339,0.77,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc4ccccc24)c(O)c1
CHEMBL1682810,3.8,CN1CCOc2nc(ccc12)C#Cc3ccccc3
CHEMBL1536083,4.03,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c2ccc(Cl)cc2
CHEMBL1950730,1.32,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(C2)C(=O)Cc3ccccc3
CHEMBL60066,1.38,[O-][n+]1cc(ccc1Cl)C(=O)Nc2ccc(F)cc2
CHEMBL1927039,3.01,N#Cc1ccc(Nc2nccc(NC3CC3)n2)cc1
CHEMBL403813,1.22,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3C#N
CHEMBL2086688,2.3,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OCC(F)F
CHEMBL430507,2.4,CN(C)CC(O)COc1ccc(Nc2nccc(n2)N(CC#N)c3cc(Cl)ccc3Cl)cc1
CHEMBL1762536,3.8,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCC4)n1)c5cc(CO)ccc5C
CHEMBL87277,3.97,Cn1nc(cc1NC(=O)Nc2ccc(Cl)cc2)C(C)(C)C
CHEMBL878,1.64,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N
CHEMBL499864,2.94,Cn1cnc(c2ccccc2)c1C#Cc3ccnc(N)n3
CHEMBL1610495,3.1,CNC(=O)c1cc(C(=O)c2ccc(Cl)cc2)c(Br)[nH]1
CHEMBL2325622,1.0,CN1CC(C1)n2nccc2c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5
CHEMBL1081627,4.1,Oc1ccc(Nc2nc(cs2)c3ccc(cc3)C#N)cc1
CHEMBL198497,2.09,CCN(C1CCN(CCC(c2ccccc2)c3ccc(NC(=O)C)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C
CHEMBL453261,2.74,Cc1ccc(cc1)S(=O)(=O)c2ccccc2
CHEMBL2325987,2.4,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4
CHEMBL518760,2.52,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCCCC4
CHEMBL1917444,1.01,COc1ccc(Sc2c(C)n(CC(=O)O)c3ccc(C)cc23)cc1
CHEMBL1916281,1.21,CC(NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C
CHEMBL1917418,2.18,Cc1ccc2c(c1)c(Sc3ccc(Cl)cc3)c(C)n2CC(=O)O
CHEMBL556667,3.4,Clc1cccc(NC(=O)c2ccccn2)c1
CHEMBL1481,1.73,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O
CHEMBL1938681,3.0,Clc1ccc(cc1)c2oc(cc2)C(=O)N(Cc3ccccn3)c4ccc(cc4)N5CCNCC5
CHEMBL559696,2.18,O=C1NC=Nc2scc(c3cccs3)c12
CHEMBL2087853,4.02,CC(C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cncn6C)c3C1=O
CHEMBL567,3.6,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1
CHEMBL2071095,1.4,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc5ncccc5s4
CHEMBL256711,2.3,Nc1ccccc1NC(=O)c2ccc(cc2)c3nccs3
CHEMBL1682830,3.7,CCN1CCOc2cc(COc3ccccc3)cnc12
CHEMBL1649771,1.39,Nc1ncc([nH]1)c2ccc(F)cc2
CHEMBL402553,2.87,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc5ccccn5
CHEMBL1645105,3.2,COc1ccc(cn1)c2ccc3nc(N)sc3c2
CHEMBL2023704,2.08,COc1ccc(cc1)c2ccnc(N)n2
CHEMBL2164682,2.66,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCc4[nH]c5ccccc5c4C3
CHEMBL1734492,3.3,NC(=O)NC(=O)C(Nc1ccc2CCCc2c1)c3ccccc3
CHEMBL1683038,2.35,COc1cc2nnc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4
CHEMBL2030443,1.0,CS(=O)(=O)Cc1cc(nc(n1)c2cccc(CO)c2)N3CCOCC3
CHEMBL213495,0.52,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C#N
CHEMBL1483,3.24,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
CHEMBL565755,2.4,CCOc1ccc2nc(N)sc2c1
CHEMBL1644358,2.78,N(c1ccccc1)c2ccnc3ccccc23
CHEMBL284237,1.6,C[C@]12N[C@H](Cc3ccccc13)c4ccccc24
CHEMBL79537,1.93,COc1cc(ccc1Cn2ccc3ccc(cc23)C(=O)NCC4CCCC4)C(=O)NS(=O)(=O)c5ccccc5
CHEMBL274642,2.55,NC1=NN(CC1)c2cccc(c2)C(F)(F)F
CHEMBL1807872,-0.03,O[C@@H](CNCCCOCCNCCc1cccc(Cl)c1)c2ccc(O)c3NC(=O)Sc23
CHEMBL2036737,2.96,CC(C)(C(=O)Nc1oc(nn1)C(=O)Nc2ccc(cc2)N3CCOCC3)c4ccc(Cl)cc4
CHEMBL1347379,3.79,Cc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(Cl)cc3
CHEMBL72683,2.5,c1ccc(nc1)c2nc3ccccc3[nH]2
CHEMBL1946017,3.65,CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4cccnc4
CHEMBL1083642,1.38,OC(=O)CO[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3
CHEMBL2088259,3.5,COc1cc(CCc2cc(Nc3ccnc(NCc4ccccn4)n3)n[nH]2)cc(OC)c1
CHEMBL202314,-0.04,[O-][N+](=O)c1cc(ccc1NCCSc2ccccc2)S(=O)(=O)NC(=O)c3ccc(cc3)N4CCNCC4
CHEMBL2152074,1.54,Nc1cc(nc2ccc(Nc3cc(nc(N)n3)c4ccc(cc4)C(F)(F)F)cc12)c5ccc(F)cc5
CHEMBL499520,3.19,Fc1cnc(NC(=O)[C@H](CC2CCOCC2)c3ccc(cc3)S(=O)(=O)C4CC4)s1
CHEMBL1229059,1.28,NC(=N)SCc1ccc(Cl)c(Cl)c1
CHEMBL1444,1.7,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3
CHEMBL218713,3.6,Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1
CHEMBL205627,1.5,COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O
CHEMBL1871428,0.82,Oc1ncc(NCc2ccccc2)c(O)n1
CHEMBL1340633,1.8,COc1cc(ccc1Nc2ccccc2C(=O)O)c3ccc(Nc4ccccc4C(=O)O)c(OC)c3
CHEMBL8953,3.38,COc1cc(cc(OC)c1OC)C(=O)c2cc(Cl)ccc2N
CHEMBL257176,1.58,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncccc3C#N
CHEMBL95925,2.88,CN(C)CC1CCn2c(C1)c(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26
CHEMBL1070,3.06,COc1ccc2cc(CCC(=O)C)ccc2c1
CHEMBL2169908,2.67,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)noc5c4
CHEMBL1950721,1.49,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(Cc3ccccc3)C2
CHEMBL333685,1.5,Oc1ccc(NC(=O)c2ccc(O)cc2)cc1
CHEMBL33227,3.58,COC(=O)[C@H](Cc1ccc(cc1)[N+](=O)[O-])NC(=O)c2cccc3ccccc23
CHEMBL1706173,2.87,COc1cc(ccc1Nc2ncc3N(C)C(=O)CCN(C4CCCCC4)c3n2)C(=O)NC5CCN(C)CC5
CHEMBL488084,2.39,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)N)n2
CHEMBL1535688,-0.84,Cc1ccc(OCC(=O)O)c(c1)n2nc3ccccc3n2
CHEMBL1231206,3.6,C[C@@H]1CNc2c(sc3ccc4nc(ccc4c23)c5ccc(C)nc5)C(=O)N1
CHEMBL1718949,3.7,CC1=C(Cc2ccccc2)C(=O)n3nc(NCc4ccc(Cl)cc4)nc3N1
CHEMBL1824043,0.9,Fc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
CHEMBL38688,3.2,N(c1ccccc1)c2ccccc2
CHEMBL1770475,4.24,CSCCC(NC(=O)c1ccccc1)c2nc3ccccc3n2Cc4ccc(cc4)C#N
CHEMBL2086684,3.33,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OC(C)(C)C
CHEMBL122617,2.5,Oc1cccc2ccccc12
CHEMBL1513816,3.14,CCN1CCN(CC1)C(=O)c2cc3cc(Cl)ccc3[nH]2
CHEMBL2326624,1.61,COc1cccc2c1c(NS(=O)(=O)c3ccc(Cl)s3)nn2Cc4cccc(CNC(=O)[C@@H]5COCCN5)c4
CHEMBL340450,1.66,COc1ccc2c(c1)cc(C(=O)O)n2Cc3ccc(Cl)c(Cl)c3
CHEMBL1223873,1.61,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1
CHEMBL1242565,1.66,C[C@H](N)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c2ccccc2
CHEMBL2031168,0.07,CN1CCNc2nc(CCOc3ccc(C[C@H](NC(=O)c4c(Cl)cccc4Cl)C(=O)O)cc3)ccc12
CHEMBL1405928,3.22,C(Sc1nc2cccnc2[nH]1)c3ccccc3
CHEMBL62136,4.5,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F
CHEMBL1087399,2.26,C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(n1)N3CCOCC3)c4ncc(F)cn4
CHEMBL640,-0.92,CCN(CC)CCNC(=O)c1ccc(N)cc1
CHEMBL373339,1.74,CC(C)Oc1cc(OCCc2ccsc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O
CHEMBL1995326,2.63,O=C(Nc1ccc(Nc2ccc(NC(=O)c3ccccc3)c4C(=O)c5ccccc5C(=O)c24)c6C(=O)c7ccccc7C(=O)c16)c8ccccc8
CHEMBL184347,3.49,COc1ccc(cc1OC)C(=O)Nc2cc(NC(=O)c3cccc(c3)N(C)C)ccc2Br
CHEMBL441225,1.5,COc1ccccc1CN[C@H]2CCCN[C@H]2c3ccccc3
CHEMBL1258166,0.07,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC4CC4)c1
CHEMBL113187,2.38,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)OCc3cc(C)nc(C)c3)C(=O)C(F)(F)F
CHEMBL73243,3.41,COCCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1
CHEMBL211456,-1.15,CN[C@@H](C)[C@H](O)c1ccccc1
CHEMBL2163586,3.75,FC(F)(F)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N
CHEMBL2031164,0.6,OC(=O)[C@H](Cc1ccc(OCCNc2nc3ccccc3[nH]2)cc1)NC(=O)c4c(Cl)cccc4Cl
CHEMBL406852,-0.58,COc1nc(N)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
CHEMBL1172928,1.69,C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cccc(Cl)c2
CHEMBL1951893,2.67,CCN(C1CCN(CCC(N2CCN(CC2)c3ccccc3)c4ccccc4)CC1)C(=O)Cc5ccc(cc5)S(=O)(=O)C
CHEMBL2164675,-0.1,CN1CCN(CC1)C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N
CHEMBL2326686,1.33,Fc1ccc(cc1Cl)C2CNCC=CC2
CHEMBL1209655,3.36,Clc1cc(Cl)cc(c1)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3
CHEMBL2325707,1.9,CN1CCC(CC1)(c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5)S(=O)(=O)C
CHEMBL188369,3.14,C[C@@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3
CHEMBL2331749,2.12,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccc(Cl)cc4)c3)C(=O)NC1=O
CHEMBL1951916,1.93,CCN(C1CCN(CC[C@H](C2CCN(CC2)S(=O)(=O)C)c3cc(C)cc(C)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C
CHEMBL1950854,1.45,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(OC)cc2)C1)C(C)(C)C
CHEMBL47406,0.92,COC(=O)COc1ccc(O)cc1
CHEMBL403963,-0.4,C(=C\c1nn[nH]n1)/c2ccccc2
CHEMBL669,2.83,CN(C)CCC=C1c2ccccc2C=Cc3ccccc13
CHEMBL109244,1.26,Oc1ccc(CCNCCCCCCNC(=O)Nc2ccccc2)c3sc(O)nc13
CHEMBL345937,-1.1,CC1SC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CCNCC4
CHEMBL2171040,0.89,COc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2104888,2.8,O[C@H]([C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(=O)N4C[C@@H](O)[C@@H](O)C4
CHEMBL1077827,1.4,CCOc1ccc(cc1)N2C(=O)c3cccnc3N=C2[C@@H](C)N(CC4CCN(C)CC4)C(=O)Cc5ccc(F)c(c5)C(F)(F)F
CHEMBL300982,3.07,CC1(C)Cc2c(c3ccccc3)c(c(CC(=O)O)n2C1)c4ccc(Cl)cc4
CHEMBL219098,2.87,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Oc3cccc4ccccc34)c2C(=O)N5CC[C@@H](O)C5
CHEMBL1824606,3.85,Fc1ccccc1COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc4ccccc4
CHEMBL1218,2.57,CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12
CHEMBL121,2.5,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3
CHEMBL193200,2.54,Oc1ccc(CC(=O)c2ccc(O)cc2O)cc1
CHEMBL1433131,2.66,Clc1cccc(Cl)c1c2nnc3cccc(Cl)n23
CHEMBL72,1.24,CNCCCN1c2ccccc2CCc3ccccc13
CHEMBL2179269,-0.3,C[C@@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3
CHEMBL1945033,-0.07,O[C@@H](CNCCc1cccc(CNCCc2ccccn2)c1)c3ccc(O)c4NC(=O)Sc34
CHEMBL147405,1.6,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(F)c2)n3ccc(c3)C#N
CHEMBL2325713,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3ccccc3)N4CCOCC4
CHEMBL2164746,0.39,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4ccc5OCC(=O)Nc5n4)[C@H](O)C3)c2c1
CHEMBL1523918,1.14,Clc1ccc(cc1)S(=O)(=O)Nc2nnc(s2)c3ccccc3
CHEMBL1529080,1.3,CN1SC(=O)c2cc(ccc12)S(=O)(=O)NC3CC3
CHEMBL291666,3.1,COc1ccc(cc1OC)c2cc(NC(=O)Cc3ccc4ccccc4c3)[nH]n2
CHEMBL2010849,1.8,CN([C@@H]1CCN(Cc2ccc(nc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4
CHEMBL611,0.9,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4
CHEMBL2086692,2.6,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(C)n4
CHEMBL81642,2.2,COc1cc(ccc1Cn2ccc3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5
CHEMBL167059,2.1,CCCc1c(O)c(ccc1OCc2ccc(cc2)C(=O)O)C(=O)C
CHEMBL1329874,2.88,Clc1ccc(c(Cl)c1)c2nnc3cccc(Cl)n23
CHEMBL485618,2.44,CCn1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)NCCOC)n2
CHEMBL98345,0.75,ONC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1
CHEMBL1088,1.6,CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S+](C)[O-]
CHEMBL168484,0.44,Nc1ccnc(n1)c2cccnc2
CHEMBL2178935,2.7,Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)N)CC3
CHEMBL1184126,1.9,Oc1c2C(=O)N(NC(=O)c2nc3cc(Cl)ccc13)C(C4CCCC4)c5ccccn5
CHEMBL526098,2.42,Cc1cccc(NS(=O)(=O)c2ccc(cc2)c3ccc(cc3)C#N)n1
